github,android
JakeWharton,ActionBarSherlock
netty,netty
WindowsAzure,azure-sdk-for-java
projectwonder,wonder
MovingBlocks,Terasology
jboss-jdf,jboss-as-quickstart
codahale,metrics
openmicroscopy,bioformats
xetorthio,jedis
grails,grails-core
liquibase,liquibase
openengsb,openengsb-framework
MinecraftForge,MinecraftForge
infinispan,infinispan
gradle,gradle
cilib,cilib
candlepin,candlepin
calabash,calabash-android
ooici,ion-definitions
forcedotcom,SalesforceMobileSDK-Android
floodlight,floodlight
pentaho,big-data-plugin
Netflix,servo
droolsjbpm,jbpm
liferay,liferay-portal
hibernate,hibernate-ogm
elasticsearch,elasticsearch
essentials,Essentials
sk89q,commandhelper
hornetq,hornetq
AndlyticsProject,andlytics
Catrobat,Catroid
bigbluebutton,bigbluebutton
unclebob,fitnesse
collectionspace,application
nicolasgramlich,AndEngine
todoroo,astrid
nathanmarz,storm
jayway,maven-android-plugin
square,okhttp
Bukkit,Bukkit
isenseDev,iSENSE-Hardware
geoserver,geoserver
Sage-Bionetworks,SynapseWebClient
sleuthkit,autopsy
arduino,Arduino
SpringSource,spring-framework
twitter,commons
ModeShape,modeshape
CeON,CoAnSys
Netflix,curator
fernandezpablo85,scribe-java
Sage-Bionetworks,Synapse-Repository-Services
yusuke,twitter4j
loopj,android-async-http
jclouds,jclouds
ippontech,tatami
jboss-switchyard,components
MilkBowl,Vault
mballance,sveditor
sdywcd,ostocy-jshop
freenet,fred-staging
Jasig,cas
forge,core
exoplatform,social
sk89q,craftbook
mongodb,mongo-java-driver
exoplatform,platform
exoplatform,exogtn
exoplatform,ecms
SpringSource,spring-integration
mifos,head
sk89q,worldguard
excilys,androidannotations
torquebox,torquebox
droolsjbpm,drools
k9mail,k-9
osmandapp,Osmand
gwtbootstrap,gwt-bootstrap
brooklyncentral,brooklyn
irstv,orbisgis
caelum,vraptor
openplans,OpenTripPlanner
kevinweil,elephant-bird
SpringSource,spring-social
sonatype,nexus
droolsjbpm,guvnor
vert-x,vert.x
cbeust,testng
weld,core
BaseXdb,basex
Silverpeas,Silverpeas-Core
Silverpeas,Silverpeas-Components
jboss-switchyard,tools
gxa,gxa
reddmetrics,forma-clj
hazelcast,hazelcast
cgeo,c-geo-opensource
codahale,dropwizard
jbosstm,narayana
geotools,geotools
objectos,objectos-dojo
square,retrofit
Netflix,Priam
getrailo,railo
Netflix,astyanax
liferay,liferay-plugins
basho,riak-java-client
jitlogic,zorka
collectionspace,services
jboss-switchyard,quickstarts
wajam,mry
opengeo,GeoGit
RS485,LogisticsPipes
sk89q,worldedit
